[14.10.2012 6:14:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:15:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:16:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:17:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:18:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:19:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:20:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:21:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:22:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:23:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:24:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:25:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:26:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:27:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:28:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:29:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:30:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:31:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:32:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:33:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:34:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:35:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:36:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:37:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:38:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:39:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:40:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:41:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:42:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:43:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:44:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:45:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:46:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:47:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:48:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:49:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:50:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:51:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:52:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:53:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:54:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:55:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:56:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:57:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:58:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 6:59:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:00:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:01:02] inner loop ended, sleeping for 60 seconds.
